year,keyword,frequency
2026,deep learning,1921
2025,artificial intelligence,1029
2026,artificial intelligence,987
2025,blockchain,942
2026,big data,941
2024,blockchain,915
2025,humans,851
2023,blockchain,807
2022,blockchain,737
2021,blockchain,717
2020,blockchain,692
2025,algorithms,450
2025,deep learning,317
2025,machine learning,311
2025,male,256
2025,"neural networks, computer",242
2019,blockchain,241
2025,female,237
2025,"signal processing, computer-assisted",185
2026,machine learning,153
2025,"image processing, computer-assisted",146
2025,electroencephalography,96
2025,adult,96
2025,magnetic resonance imaging,66
2025,middle aged,65
2025,data mining,64
2025,aged,58
2025,brain,56
2026,humans,54
2025,electrocardiography,51
2023,artificial intelligence,51
2025,natural language processing,39
2025,electronic health records,38
2025,wearable electronic devices,36
2025,"tomography, x-ray computed",35
2025,robotics,35
2024,data mining,34
2025,animals,32
2025,"imaging, three-dimensional",32
2025,brain-computer interfaces,30
2025,electromyography,30
2025,supervised machine learning,29
2025,large language models,27
2025,support vector machine,25
2025,neoplasms,25
2024,humans,24
2026,blockchain,23
2025,alzheimer disease,23
2020,big data,23
2025,photoplethysmography,23
2025,reproducibility of results,23
2025,computational biology,22
2025,ultrasonography,20
2025,"image interpretation, computer-assisted",19
2025,computer simulation,19
2025,polysomnography,19
2026,female,19
2025,language,18
2025,gait,18
2025,signal-to-noise ratio,18
2025,child,18
2017,deep learning,17
2025,"monitoring, physiologic",17
2023,data mining,16
2021,big data,16
2026,male,16
2025,biomechanical phenomena,16
2025,risk factors,16
2025,precision medicine,16
2019,big data,15
2025,atrial fibrillation,15
2025,parkinson disease,15
2025,epilepsy,15
2025,sleep stages,15
2022,artificial intelligence,15
2018,deep learning,15
2025,movement,15
2025,software,14
2026,computational biology,14
2025,roc curve,14
2025,automation,14
2025,emotions,14
2025,attention,14
2025,risk assessment,14
2025,lung neoplasms,14
2025,seizures,14
2025,"diagnosis, computer-assisted",14
2019,deep learning,14
2022,big data,13
2025,biomarkers,13
2025,heart rate,13
2025,cognitive dysfunction,13
2016,deep learning,13
2021,deep learning,12
2025,young adult,12
2025,bayes theorem,12
2026,"image processing, computer-assisted",12
2025,breast neoplasms,12
2025,"tomography, optical coherence",12
2025,"infant, newborn",12
2025,gait analysis,11
2025,blood pressure,11
2025,prostatic neoplasms,11
2023,humans,11
2025,equipment design,11
2025,pregnancy,11
2025,speech,11
2025,blood pressure determination,10
2025,prognosis,10
2025,retrospective studies,10
2025,"arrhythmias, cardiac",10
2025,electric impedance,10
2025,hand,10
2025,cluster analysis,10
2025,gestures,10
2025,wavelet analysis,9
2025,treatment outcome,9
2025,"pattern recognition, automated",9
2025,diagnostic imaging,9
2025,early diagnosis,9
2025,accelerometry,9
2025,stroke,9
2025,sleep,9
2025,tomography,9
2018,big data,9
2025,neuroimaging,9
2018,blockchain,9
2025,artifacts,9
2025,eye movements,9
2025,"decision support systems, clinical",9
2019,artificial intelligence,8
2025,severity of illness index,8
2025,covid-19,8
2020,deep learning,8
2025,video recording,8
2025,"databases, factual",8
2025,federated learning,8
2025,motion,8
2026,middle aged,8
2025,imagination,8
2025,exoskeleton device,8
2025,spatio-temporal analysis,8
2017,big data,8
2025,mobile applications,8
2025,heart sounds,8
2025,convolutional neural networks,8
2025,"phantoms, imaging",8
2025,"spectroscopy, near-infrared",8
2015,deep learning,8
2019,big data analytics,8
2025,lung,8
2025,early detection of cancer,8
2025,radar,7
2025,gene expression profiling,7
2025,sleep apnea syndromes,7
2026,data mining,7
2025,coronary artery disease,7
2025,big data analytics,7
2025,phenotype,7
2025,"biomarkers, tumor",7
2025,"models, statistical",7
2025,respiratory sounds,7
2025,forecasting,7
2022,big data analytics,7
2025,sars-cov-2,7
2025,smartphone,7
2017,blockchain,7
2025,depression,7
2025,drug discovery,7
2025,endoscopy,7
2025,programming languages,7
2025,time factors,7
2026,retrospective studies,7
2025,eye-tracking technology,7
2025,brain neoplasms,7
2025,walking,6
2025,coronary vessels,6
2025,china,6
2025,dementia,6
2025,phonocardiography,6
2025,drug-related side effects and adverse reactions,6
2025,action potentials,6
2025,acoustics,6
2018,big data analytics,6
2025,activities of daily living,6
2017,big data analytics,6
2024,artificial intelligence,6
2025,stroke rehabilitation,6
2024,female,6
2025,neurons,6
2025,blood glucose,6
2025,pancreatic neoplasms,5
2025,fuzzy logic,5
2026,adult,5
2025,auscultation,5
2025,semantics,5
2025,antineoplastic agents,5
2024,male,5
2015,big data,5
2025,monte carlo method,5
2016,big data analytics,5
2024,algorithms,5
2026,software,5
2025,wrist,5
2025,radiography,5
2025,skin neoplasms,5
2025,"aged, 80 and over",5
2025,upper extremity,5
2025,cardiovascular diseases,5
2025,electrodes,5
2025,infant,5
2025,calibration,5
2025,visual perception,5
2026,aged,5
2025,multiple-instance learning algorithms,5
2025,visual cortex,5
2025,"gene expression regulation, neoplastic",5
2025,uncertainty,5
2025,robotic surgical procedures,5
2025,"drugs, chinese herbal",5
2025,adverse drug reaction reporting systems,5
2023,deep learning,5
2025,genomics,5
2026,algorithms,5
2024,natural language processing,5
2026,gene expression profiling,5
2025,delivery of health care,5
2017,humans,5
2025,rats,5
2025,gene regulatory networks,5
2025,proteins,5
2025,"pulmonary disease, chronic obstructive",5
2025,mice,5
2025,autoencoder,5
2024,computational biology,5
2025,"models, neurological",5
2020,big data analytics,5
2016,big data,5
2025,"reinforcement, psychology",4
2025,retinal diseases,4
2025,synthetic biology,4
2025,blood glucose self-monitoring,4
2024,machine learning,4
2025,coronary angiography,4
2025,autism spectrum disorder,4
2025,capsule endoscopy,4
2025,prostate,4
2025,biometry,4
2025,nerve net,4
2025,computed tomography angiography,4
2025,radiomics,4
2025,generative adversarial networks,4
2025,united states,4
2025,mental disorders,4
2025,unsupervised machine learning,4
2025,pulse wave analysis,4
2025,colorectal neoplasms,4
2025,"models, cardiovascular",4
2021,artificial intelligence,4
2025,"diabetes mellitus, type 2",4
2025,surveys and questionnaires,4
2025,exercise,4
2025,self-help devices,4
2025,protein interaction maps,4
2025,echocardiography,4
2025,decision trees,4
2025,heart failure,4
2025,artificial limbs,4
2019,humans,4
2025,bibliometrics,4
2025,respiration,4
2025,"hypoxia-ischemia, brain",4
2025,blood flow velocity,4
2025,adolescent,4
2025,information storage and retrieval,4
2025,"sleep apnea, obstructive",4
2025,myocardial infarction,4
2026,"models, molecular",4
2024,animals,4
2025,clinical trials as topic,4
2026,biomarkers,4
2025,head and neck neoplasms,4
2025,glaucoma,4
2014,big data,4
2025,sepsis,4
2024,big data analytics,4
2025,sheep,4
2018,humans,4
2025,face,4
2025,generative artificial intelligence,4
2025,accidental falls,4
2025,hemodynamics,4
2025,social media,4
2025,disease progression,4
2025,prospective studies,4
2026,"neural networks, computer",4
2025,triage,4
2025,liver neoplasms,4
2016,blockchain,4
2025,"cell line, tumor",4
2025,germany,4
2025,"child, preschool",3
2025,ensemble learning,3
2025,ear,3
2025,nursing records,3
2025,graph neural networks,3
2025,telemedicine,3
2025,intensive care units,3
2025,internet,3
2025,plants,3
2025,posture,3
2025,"plaque, atherosclerotic",3
2024,"polymorphism, single nucleotide",3
2025,"brain injuries, traumatic",3
2025,cough,3
2025,"renal insufficiency, chronic",3
2025,sensitivity and specificity,3
2025,gastroenterology,3
2025,joints,3
2025,"radiography, thoracic",3
2026,protein interaction maps,3
2019,female,3
2025,liver,3
2025,"databases, genetic",3
2025,survival analysis,3
2025,"radiographic image interpretation, computer-assisted",3
2025,diabetes mellitus,3
2025,consciousness disorders,3
2025,republic of korea,3
2025,contrast media,3
2021,big data analytics,3
2018,artificial intelligence,3
2025,aging,3
2025,aorta,3
2025,visual prosthesis,3
2025,"medicine, chinese traditional",3
2025,brain mapping,3
2025,cell nucleus,3
2025,biomedical research,3
2025,retina,3
2025,cross-sectional studies,3
2025,big data,3
2025,transcriptome,3
2025,chronic disease,3
2020,humans,3
2026,artifacts,3
2025,oximetry,3
2025,students,3
2025,radio waves,3
2025,magnetic resonance angiography,3
2014,deep learning,3
2025,japan,3
2025,deep brain stimulation,3
2025,lower extremity,3
2025,telerehabilitation,3
2025,magnetite nanoparticles,3
2021,humans,3
2025,"diabetes mellitus, type 1",3
2025,"muscle, skeletal",3
2025,public health,3
2026,protein conformation,3
2025,pilot projects,3
2025,colonic neoplasms,3
2025,data curation,3
2025,carotid arteries,3
2025,metabolomics,3
2024,deep learning,3
