affiliation,count
"Departemen Teknik Elektro, Fakultas Teknik, Universitas Diponogoro, Indonesia",4
"Laboratory of Genetics, Department of Biotechnology, School of Applied Biology and Biotechnology, Agricultural University of Athens, Athens, Greece.",2
ASIPCS,2
"Department of Radiology, Zhongshan Hospital, Fudan University, Shanghai, China.",2
"Division of Endocrinology and Metabolism, Center of Clinical, Experimental Surgery and Translational Research, Biomedical Research Foundation of the Academy of Athens, Athens, Greece. dimvl@aua.gr.",2
"School of Computer Science and Engineering, Key Laboratory of Big Data Management and Analytics (Liaoning), Northeastern University, China.",2
"Department of Biomedical Informatics, School of Medicine, University of Utah, Salt Lake City, Utah.",2
"Laboratory of Genetics, Department of Biotechnology, School of Applied Biology and Biotechnology, Agricultural University of Athens, Athens, Greece. dimvl@aua.gr.",2
"Acoustics Science and Technology Laboratory, Harbin Engineering University, China.",2
"Department of Cardiology, Chang Gung Memorial Hospital, Linkou Medical Center, Chang Gung University, Taoyuan City, Taiwan.",2
"Digital Technology and Innovation, Siemens Healthineers, Princeton, New Jersey, USA.",2
"Center for Big Data Analytics and Statistics, Chang Gung Memorial Hospital, Taoyuan, Taiwan.",2
"Centre for Artificial Intelligence in Public Health Research, Robert Koch Institute, Berlin, Germany.",2
"Department of Private Law, United Arab Emirates University, Al-Ain, United Arab Emirates.",2
Национальный исследовательский университет «Высшая школа экономики»,1
Instytut Immunologii i Terapii Doświadczalnej im. Ludwika Hirszfelda Polskiej Akademii Nauk we Wrocławiu,1
"Beihang University, Peng Huanwu Collaborative Center for Research and Education, Beijing 100191, China.",1
"Department of Paleobiotechnology, Leibniz Institute for Natural Product Research and Infection Biology Hans Knöll Institute, Beutenbergstr. 11a, 07745 Jena, Germany.",1
"Department of Convergence Medicine, University of Ulsan College of Medicine, Asan Medical Center, Seoul, Republic of Korea.",1
"Department of Cardiovascular Medicine, University Indonesia, Jakarta 40416, Indonesia.",1
"Center for Cancer Bioinformatics, Peking University Cancer Hospital & Institute, Beijing, China.",1
"Bern Photographic Reading Center, Department of Ophthalmology, Inselspital, Bern University Hospital, Bern, Switzerland.",1
"Atlantic branch of FSBSI “VNIRO” (“AtlantNIRO”); Shirshov Institute of Oceanology, Russian Academy of Sciences",1
"ООО «ОнкоЮнайт Клиникс», Москва",1
"State Key Laboratory of Multimodal Artificial Intelligence Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China.",1
"Inserm, Centre de Recherche des Cordeliers, Université Sorbonne-Paris Cité, Paris, France.",1
"Nursing Department, Akdağmadeni School of Health Sciences, Yozgat Bozok University, Yozgat, Turkiye.",1
"NVIDIA, Santa Clara, CA, USA.",1
"Arrhythmia Section, Cardiology Department, Hospital Clínic, Universitat de Barcelona, Barcelona, Spain.",1
"Pfizer Pharma GmbH, Berlin, Germany.",1
